Year,Total
1988,570270
1988,581390
1988,892545
1988,558920
1988,514420
1988,864365
1988,886615
1988,833075
1989,7700000
1989,5539150
1989,39895
1989,90089
1989,135689
1989,17997
1989,13288
1989,92840
1989,158997
1989,51994
1989,2942964
1989,523240
1989,143989
1989,4450000
1989,1260000
1989,693000
1989,42500
1989,16035755
1989,85073
1989,25488
1989,43605
1989,141960
1989,543324
1989,45000
1989,20000
1989,8508356
1989,5917229
1989,2802056
1989,504940
1989,8899120
1989,6133177
1989,22158676
1989,4538524
1989,3998252
1989,101657
1989,5779389
1989,420357
1989,3772704
1989,955527
1989,12820984
1989,2932000
1989,529565
1989,34249000
1989,26051600
1989,2950500
1989,8321937
1989,5101863
1989,33600
1989,726250
1989,583140
1989,827000
1989,2929947
1989,21829
1989,5724
1989,5445000
1989,8174750
1989,3849100
1989,9035250
1989,3718900
1989,5925000
1989,4948000
1989,1161688
1989,1305480
1989,1315697
1989,1135243
1989,1179256
1989,1227096
1989,1003730
1989,1916000
1989,966270
1989,1241926
1990,2181865
1990,11413683
1990,891432
1990,1655819
1990,50086
1990,46926
1990,141921
1990,22420058
1990,6286
1990,977040
1990,1304928
1990,2345665
1990,3074423
1990,2881147
1990,8546352
1990,3040576
1990,2812058
1990,110496
1990,4857178
1990,4812387
1990,150984
1990,5021250
1990,4314260
1990,4312248
1990,4314375
1990,2511702
1990,2184452
1990,947824
1990,1545925
1990,100000
1990,2236600
1990,4020733
1990,4340000
1990,765155
1990,36371500
1990,26135291
1990,2363000
1990,1883100
1990,760000
1990,6348000
1990,8852
1990,16343063
1990,8639
1990,6677729
1990,9419
1990,3298
1990,18900
1990,732980
1990,270000
1990,4800000
1990,600000
1990,4387000
1990,5873000
1990,3993000
1990,1559300
1990,4938000
1990,1991000
1990,3478000
1990,4094000
1990,1993500
1990,482905
1990,533923
1990,523793
1990,523937
1990,533426
1990,530221
1990,547369
1990,507415
1991,2980447
1991,8720086
1991,11388793
1991,794673
1991,50115671
1991,22850
1991,1198321
1991,496878
1991,19017615
1991,15727308
1991,3183000
1991,3025000
1991,3129000
1991,5677903
1991,5648681
1991,4877258
1991,5043474
1991,4925564
1991,16258086
1991,18073558
1991,19800478
1991,1000000
1991,5156300
1991,753850
1991,1143670
1991,2019800
1991,4402000
1991,1499032
1991,5437000
1991,76135
1991,95000
1991,37686000
1991,26589400
1991,4802000
1991,50062
1991,12524437
1991,12221438
1991,50063
1991,1837000
1991,562000
1991,280000
1991,2500000
1991,997000
1991,6694000
1991,1600000
1991,2099800
1991,4274000
1991,2822000
1991,7407000
1991,4110500
1991,3404990
1991,3943000
1991,2310000
1991,3407000
1991,1398517
1991,1490341
1991,1523648
1991,1603194
1991,1572499
1991,1620282
1991,1555744
1991,1457075
1991,1531354
1991,1541206
1991,1590746
1991,1336095
1991,1530277
1991,1474598
1991,1385345
1991,1391379
1992,19578450
1992,19342342
1992,423000
1992,39616263
1992,374524
1992,242871
1992,17873408
1992,18044646
1992,6709659
1992,11708268
1992,250808
1992,48951
1992,1049
1992,178263
1992,8321737
1992,5515021
1992,9905058
1992,20321587
